10,-104.01696660824476
20,-107.84933789400044
30,-108.22473683764129
40,-109.58902777252108
50,-110.04725808499356
60,-104.19782237491708
70,-102.53250564891445
80,-100.4050646780976
90,-98.09620925831149
100,-97.54558650084059
110,-96.16969419969756
120,-95.35804586037365
130,-95.08525612726436
140,-92.51541092953764
150,-92.08819344940785
160,-92.0806574806867
170,-91.55147833831936
180,-91.5988993523379
190,-92.10864799873639
210,-122.18080859601393
220,-123.6732606048269
230,-124.53990994447602
240,-124.35657806023775
250,-124.71963669929195
260,-119.82002056049961
270,-113.87120307947833
280,-112.06394244875611
290,-110.41566483642931
300,-108.957966063117
310,-107.35449585314969
320,-105.96599389232951
330,-104.54010872122831
340,-103.53474937675392
350,-102.38674442511793
360,-101.60488992565709
370,-101.92415558208762
380,-101.86780516508702
390,-101.68810271401574
410,-134.49752260958297
420,-133.53985132455242
430,-133.3039380583569
440,-133.28346482336121
450,-133.0472695467439
460,-127.46368101159084
470,-126.4087525484902
480,-125.08628627030966
490,-124.056780234152
500,-123.16190826089176
510,-121.07993892376507
520,-120.05457387649157
530,-118.98720815804167
540,-117.7579048382751
550,-115.9971807119467
560,-112.92045180092303
570,-110.83967679320449
580,-108.92553576318005
590,-107.39825725519289
610,-107.56223590907545
620,-107.81421957526774
630,-103.32837740638809
640,-103.42928368230318
650,-105.13606493200298
660,-80.71192504330135
670,-79.10407479960323
680,-77.19598372300239
690,-76.3894601761726
700,-75.70082583025277
710,-73.9027893962169
720,-73.24939659570616
730,-72.0225409262166
740,-71.03665389570818
750,-69.79665140136883
760,-70.75673836249193
770,-70.10695155950233
780,-69.16108665986695
790,-68.62687905171838
